idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
855,464,-34.2643,-61.11689,23,56,17.3,0.61,10YR,3,2,NA,NA,NA,84.971098265896
859,465,-34.22267,-61.12885,0,15,23.3,2.55,10YR,3,1,NA,NA,NA,72.5321888412017
860,465,-34.22267,-61.12885,15,28,19.5,1.54,10YR,2.5,1,NA,NA,NA,85.1282051282051
866,467,-34.28695,-61.16778,0,15,28.6,2.77,10YR,2,1,NA,NA,NA,74.8251748251748
867,467,-34.28695,-61.16778,15,32,26.4,2.25,10YR,2,1.5,NA,NA,NA,81.0606060606061
872,468,-34.31451,-61.07866,0,26,11.5,0.58,10YR,3,2,NA,NA,NA,100
875,469,-34.3124,-60.97704,0,14,21.2,2.01,10YR,3,1,NA,NA,NA,81.6037735849057
876,469,-34.3124,-60.97704,14,25,19.2,1.02,10YR,3,1,NA,NA,NA,85.4166666666667
881,470,-34.17854,-61.04877,0,14,15.9,2.06,10YR,3,1,NA,NA,NA,89.3081761006289
882,470,-34.17854,-61.04877,14,24,16,1.28,10YR,2,2,NA,NA,NA,80.62500000000001
883,470,-34.17854,-61.04877,24,34,15,0.7,10YR,3,2.5,NA,NA,NA,88
888,471,-34.24183,-61.00549,0,12,NA,NA,10YR,3,1,NA,NA,NA,NA
889,471,-34.24183,-61.00549,12,25,20.2,2.16,10YR,2.5,1,NA,NA,NA,80.1980198019802
895,472,-34.18938,-61.13095,0,21,21.2,2.26,10YR,3,2,NA,NA,NA,74.5283018867925
896,472,-34.18938,-61.13095,21,31,19.2,1.61,10YR,2,2,NA,NA,NA,79.6875
901,473,-34.22321,-61.25032,0,14,14.4,1.48,10YR,3,2,NA,NA,NA,88.1944444444444
902,473,-34.22321,-61.25032,14,27,15.7,1.25,10YR,3,2.5,NA,NA,NA,85.3503184713376
906,474,-34.22222,-61.24722,0,15,21.5,2.1,10YR,3,1,NA,NA,NA,81.8604651162791
907,474,-34.22222,-61.24722,15,32,21.2,1.88,10YR,3,1,NA,NA,NA,84.4339622641509
914,475,-34.21957,-61.25133,0,10,10.7,0.66,10YR,3.5,2,10YR,7,2,100
