idp,x,y,z
2945,-63.1967,-32.9719,0
2949,-60.81667,-31.45,0
2965,-62.4028,-32.9708,NA
2966,-63.7925,-31.4047,0
2967,-63.9222,-33.6608,0
2968,-62.4575,-32.5631,0
2980,-62.9575,-32.4253,0
2982,-62.1806,-32.6167,0
2992,-62.3475,-32.4822,0
2993,-63.5978,-32.0517,0
2994,-63.7389,-31.9458,0
2997,-62.7753,-32.8561,0
2999,-63.1881,-32.1378,0
3001,-63.2683,-33.1364,0
3005,-63.8492,-31.68,0
3007,-63.0256,-31.1017,0
3008,-63.2447,-32.6014,0
3010,-63.7936,-32.58,0
3011,-62.2253,-31.5211,0
3014,-62.4331,-32.1089,0
3023,-62.1692,-31.2167,2
3037,-63.96956,-31.274,NA
3038,-63.62906,-31.89981,NA
3044,-62.9567,-32.4253,0
3047,-62.6322,-33.925,0
3060,-62.14028,-32.39667,0
3061,-63.44583,-33.27333,0
3063,-62,-32,0
3064,-62.3722,-32.6889,0
3065,-62.9639,-32.2144,0
3067,-64.2942,-32.1569,0
3068,-63.9669,-32.2272,0
3069,-64,-32,2
3072,-63.5603,-31.7092,0
3075,-63,-32,0
3076,-63.0161,-34.465,0
3077,-62,-31.7033,0
3078,-63,-32,2
3079,-62,-33,0
3081,-62,-32,0
3095,-61.491,-31.52908,0
3103,-60.95572,-31.53294,0
3105,-60.87167,-30.95278,0
3106,-60.5875,-30.94278,0
3108,-60.97228,-32.315,0
3109,-60.84869,-32.67997,0
3118,-60.69889,-30.94083,0
3125,-61.93311,-31.08603,0
3133,-61.94461,-31.1355,0
3145,-62.6755,-33.19319,NA
3151,-63.52792,-32.01503,NA
3152,-62.86386,-32.53761,NA
3153,-62.73997,-32.56311,NA
3154,-62.54664,-32.57444,NA
3155,-61.40239,-32.77481,NA
3156,-61.86758,-31.13556,0
3157,-60.53772,-33.25342,NA
3159,-61.5,-31.2,0
3160,-61.5,-31.2,0
3167,-59.02814,-34.59947,0
3168,-59.29739,-34.12947,NA
3169,-59.18786,-34.19886,2
3170,-61.5,-31.2,0
3179,-60.68056,-31.29444,0
3182,-60.67806,-31.29444,0
3190,-60.84667,-31.33556,0
3203,-60.98917,-31.46278,0
3205,-60.70222,-31.47667,0
3208,-61.51583,-31.9125,0
3222,-60.66444,-31.46167,2
3229,-61.72778,-31.93333,2
3234,-61.00083,-31.98833,2
3238,-61.00083,-31.98333,2
3245,-60,-31,0
3247,-60.93889,-32.03972,0
3248,-61,-32,0
3249,-61.50194,-32.07028,0
3250,-59.93031,-32.34972,0
3251,-59.27611,-32.35592,0
3260,-62.01667,-32.1,NA
3263,-61.8425,-32.18,0
3264,-61.58222,-32.18333,0
3283,-61.50556,-32.19806,0
3284,-61.87472,-32.19444,0
3291,-61.05,-32.33,0
3292,-61.17917,-32.36111,0
3293,-60.83333,-32.41667,0
3294,-60.895,-32.48694,0
3296,-61.41667,-32.49861,0
3297,-61.43333,-32.50056,0
3299,-59.25881,-31.28931,NA
3300,-59.72308,-31.54475,NA
3301,-60.57117,-31.89719,NA
3306,-61.22611,-32.52556,0
3307,-61.03861,-32.59861,0
3308,-61.22361,-32.61222,0
3309,-61.06028,-32.61278,0
3317,-59.72308,-31.54475,NA
3339,-61.2125,-33.01667,2
3345,-61.36722,-33.36444,2
3346,-61.64639,-33.44111,0
3349,-61.70417,-33.48972,0
3355,-61.58333,-33.49167,0
5584,-60.53626,-31.84885,NA
5597,-61.90818,-33.03663,NA
5598,-61.92256,-33.01432,NA
5599,-61.84018,-33.04997,NA
5601,-61.87022,-33.07283,NA
5602,-61.98381,-33.03904,NA
5603,-61.94292,-33.11922,NA
5604,-61.76477,-33.05355,0
5606,-61.75465,-33.06963,NA
5607,-61.88882,-33.1098,NA
5608,-61.7865,-33.13412,NA
5609,-61.57569,-33.03515,NA
5610,-61.57827,-33.04045,NA
5612,-61.5763,-33.0509,NA
5614,-61.57782,-33.04304,NA
5615,-61.58586,-33.07452,0
5617,-61.55044,-33.15828,0
5619,-61.59181,-33.15828,NA
5620,-61.66054,-33.15847,NA
5622,-61.74466,-33.13237,NA
5623,-61.5934,-33.05519,NA
5624,-61.71846,-33.04847,NA
5625,-61.53109,-33.27445,NA
5626,-61.57584,-33.20117,NA
5627,-61.65358,-33.22975,0
5628,-61.68667,-33.19217,NA
5629,-61.7331,-33.29967,NA
6159,-62.10793,-34.07898,2
6160,-61.90094,-34.27411,0
6161,-61.98504,-34.26294,0
6162,-62.39771,-33.85847,NA
6163,-61.56546,-33.78845,2
6164,-61.56789,-33.78354,NA
6165,-61.64521,-33.79076,0
6166,-61.53348,-33.80459,NA
6167,-61.85833,-33.86594,0
6184,-61.89966,-33.81201,2
6185,-61.75986,-33.67547,0
6186,-61.78136,-33.66909,2
6187,-61.82151,-33.79577,0
6188,-61.81985,-33.79752,0
6190,-61.97732,-33.67986,2
6192,-61.86199,-33.67819,0
6195,-61.97741,-33.81074,0
6196,-61.96231,-33.78968,2
6198,-61.78854,-33.80838,0
6200,-61.72603,-33.73016,0
6201,-61.554,-33.82554,2
6202,-61.70343,-33.75738,0
6205,-61.85719,-33.86668,0
6209,-61.93456,-33.84548,2
6210,-61.57984,-33.71422,0
6211,-61.89669,-33.81281,NA
6214,-61.88092,-33.91731,2
6217,-61.91724,-33.9369,0
6221,-61.70579,-33.75868,0
6227,-61.73703,-33.78844,0
6230,-61.6987,-33.66078,2
6231,-61.71333,-33.77306,0
6234,-61.55655,-33.82731,0
6236,-62.4607,-33.97236,0
6240,-62.39363,-33.96004,0
6241,-62.22629,-33.75409,0
6243,-62.06274,-33.89802,0
6245,-62.02238,-33.86806,0
6246,-62.09424,-33.94089,0
6247,-62.16715,-33.90075,0
6248,-62.18881,-33.92032,0
6249,-62.22955,-33.95456,0
6251,-62.48414,-34.09927,0
6311,-62.35159,-34.25016,0
6312,-61.6289,-34.27836,0
6313,-61.6289,-34.27836,0
6314,-61.65987,-34.23482,0
6315,-61.71187,-34.19308,2
6316,-61.72029,-34.18135,0
6318,-61.74746,-34.272,0
6319,-61.90698,-34.21742,0
6320,-61.7915,-34.32219,0
6321,-61.98504,-34.26294,0
6322,-62.27859,-34.29584,0
6323,-61.63224,-34.02934,0
6324,-61.52788,-34.10251,NA
6325,-61.6367,-34.1329,2
6326,-61.80345,-34.0038,2
6327,-61.82584,-34.13108,0
6328,-61.79879,-34.04904,NA
6329,-61.93744,-34.01852,0
6330,-61.53012,-34.14666,0
6331,-61.89826,-34.14205,NA
6333,-61.60516,-34.18993,0
6334,-62.04597,-34.21482,0
6335,-62.3766,-34.23066,2
6336,-62.19996,-34.2559,2
6337,-62.19777,-34.24161,0
6338,-62.12329,-34.22487,2
6339,-61.96824,-34.07218,0
6340,-62.21539,-34.2357,0
6341,-61.83458,-34.26264,2
6342,-62.35159,-34.25016,NA
6343,-62.23645,-34.09526,NA
6344,-62.33384,-34.18531,NA
6345,-62.32989,-34.09262,0
6346,-62.20544,-34.15803,0
6348,-62.34338,-33.84804,0
6350,-62.46557,-33.85018,2
6351,-62.48059,-33.95018,2
6352,-62.0492,-33.83101,2
6353,-62.28194,-34.09154,0
6354,-62.35357,-34.02108,0
6355,-62.08883,-34.04613,0
6356,-62.42311,-34.02846,0
6357,-61.94672,-33.93603,0
6358,-61.66583,-33.96917,2
6359,-61.60556,-33.96111,0
6360,-61.71107,-33.77002,0
6375,-61.6204,-33.90681,0
6376,-61.66553,-33.97145,2
6378,-61.53438,-34.26726,NA
6379,-61.5244,-34.25734,NA
6418,-64.11667,-34.38889,0
6420,-64.28389,-33.045,0
6421,-64.14479,-33.32441,2
6422,-64.1225,-33.245,0
6423,-64.35716,-33.02063,0
6424,-64.24492,-33.26074,0
6426,-61.21806,-30.94583,2
6427,-64.23333,-30.93333,2
6429,-63.65,-31.70806,0
6436,-64.51667,-32.86667,0
6439,-64.16667,-30.975,2
6440,-64.15833,-30.96667,0
6444,-64.65,-32.26667,0
6446,-64.66667,-32.26667,NA
6447,-64.54167,-32.13333,0
6448,-64.51667,-32.13333,0
6450,-62.92694,-33.3975,0
6452,-64.16667,-30.93056,2
6454,-64.63194,-31.78611,0
6458,-62.22833,-31.795,0
6462,-63.16889,-32.89083,0
6463,-64.61667,-31.93333,0
6468,-64.36859,-33.26962,0
6469,-64.3577,-33.2282,0
6470,-64.00557,-33.20611,0
6471,-64.0024,-33.3152,0
6472,-64.11634,-33.33197,0
6473,-64.115710000000007,-33.29377,0
6504,-61.09444,-34.48778,2
6505,-59.83828,-34.50467,2
6607,-62.35083,-34.53139,0
